event_id,name,start_date,end_date,regions,source_title,source_url
uri_2021,Winter Storm Uri,2021-02-13,2021-02-20,"TEX,MIDW,CENT,SE","FERC, NERC and Regional Entity Staff Report: The February 2021 Cold Weather Outages in Texas and the South Central United States (Nov 2021)",https://www.ferc.gov/media/february-2021-cold-weather-outages-texas-and-south-central-united-states-ferc-nerc-and
heat_dome_2021,Pacific Northwest heat dome,2021-06-26,2021-06-30,"NW","NERC, 2021 Summer Reliability Assessment / post-event analyses",https://www.nerc.com/pa/RAPA/ra/Reliability%20Assessments%20DL/NERC_SRA_2021.pdf
elliott_2022,Winter Storm Elliott,2022-12-23,2022-12-26,"SE,MIDA,MIDW,CENT,TEN,NE,NY","FERC, NERC and Regional Entity Staff: Inquiry into Bulk-Power System Operations During December 2022 Winter Storm Elliott, Final Report (Oct 2023)",https://www.ferc.gov/news-events/news/ferc-nerc-release-final-report-lessons-winter-storm-elliott
arctic_2024,January 2024 Arctic storms (incl. Winter Storm Heather),2024-01-13,2024-01-17,"NW,CENT,MIDW,TEX,SE,MIDA","FERC, System Performance Review of the January 2024 Arctic Storms (Apr 2024)",https://www.ferc.gov/news-events/news/presentation-system-performance-review-january-2024-arctic-storms
heat_wave_2023,July-August 2023 heat wave (ERCOT and Southwest records),2023-07-15,2023-08-31,"TEX,SW","NERC, 2023-2024 Winter Reliability Assessment and ERCOT peak demand records",https://www.nerc.com/pa/RAPA/ra/Reliability%20Assessments%20DL/NERC_WRA_2023.pdf
cold_jan_2025,January 2025 cold wave,2025-01-19,2025-01-24,"SE,MIDA,MIDW,CENT,TEX,NE,NY","NERC, 2024-2025 Winter Reliability Assessment; NERC/FERC post-event reporting",https://www.nerc.com/pa/RAPA/ra/Reliability%20Assessments%20DL/NERC_WRA_2024.pdf
